q,que,ai_answer,actual_send_answer,kb_ids,new_refer,order_status,refund_status
不是两大罐吗,"[{""role"":""user"",""content"":""不是两大罐吗""}]",亲，一罐350g哦。,亲，一罐350g哦。,18,"['问题：""你们说两大罐，所以有一点欺骗的成分在这里。"", 答案：""是两大罐呀亲""', '问题：""好象不对，我下的单是速溶两罐。"", 答案：""是两大罐""', '问题：""看的是两罐呀"", 答案：""您选的不是""', '问题：""帮我看一下，我买了是不是两罐，然后核对一下地址？"", 答案：""亲 是两罐哦""', '问题：""这两大罐是不是两斤"", 答案：""亲 一罐300g""', '问题：""不是5罐吗"", 答案：""稍等亲""', '问题：""你刚才说是两罐就行了"", 答案：""选项中都有标注的亲""', '问题：""几两是两大罐"", 答案：""亲，一罐350g哦。""']",,
返一元也行不然差评,"[{""role"":""user"",""content"":""就差评""},{""role"":""user"",""content"":""反正我不管""},{""role"":""user"",""content"":""不返现""},{""role"":""user"",""content"":""就差评""},{""role"":""assistant"",""content"":""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""},{""role"":""user"",""content"":""返一元也行""},{""role"":""user"",""content"":""返一元也行不然差评""}]",,如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。,18,"['问题：""返一元钱现金吧！"", 答案：""亲，如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""', '问题：""返0.5元对吧"", 答案：""亲，本店都是薄利多销,没啥利润的,如果您签收后还满意的话，麻烦给个五星评价鼓励一下哦~如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按步骤要求提交试一下哦。""', '问题：""不是返2元吗"", 答案：""亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。亲，本店都是薄利多销，没啥利润的，如果您签收以后还满意的话，麻烦给个五星好评鼓励一下哦。如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""', '问题：""是不是给我在返回来2元"", 答案：""确认下亲""', '问题：""退款也可"", 答案：""可以给您退5元亲""', '问题：""已评价有0.5元返现吗"", 答案：""亲 如果说看到有评价有礼活动，那可能是官方活动，不是本店活动，可以按照步骤要求提交试一下哦。""', '问题：""那也行，直接退款9.9元"", 答案：""亲售后核实以后会处理的哈""', '问题：""不返四元我投诉。"", 答案：""亲实在不满意可以申请退货退款哈商品寄回有专人处理的""']",,
你好，我改地址，我应怎么改，我不按错了地址。,"[{""role"":""user"",""content"":""你好，我改地址，我应怎么改，我不按错了地址。""}]",亲，您需要修改地址的话，可以联系我们的客服，我们会帮您联系快递更改地址哦~,,18,"['问题：""你好我想改个地址地址错了"", 答案：""地址发我""', '问题：""你好我把地址添错了能帮我改一下吗"", 答案：""提供一下详细的地址帮您联系快递更改亲""', '问题：""地址错了，现在怎么样能改一下"", 答案：""可以的""', '问题：""有改地址吗您好"", 答案：""已经更改了亲""', '问题：""那我设更改个地址，写地址里面"", 答案：""好的亲可以试试哦""', '问题：""现在还可以改地址吗可以的话我想改个地址"", 答案：""亲，现在还可以修改地址哦~""', '问题：""我要修改址"", 答案：""亲 用文字发下哦""', '问题：""能改地址吗"", 答案：""亲 用文字发下哦""']",,
拆封了才知道不好用,"[{""role"":""user"",""content"":""？""},{""role"":""user"",""content"":""试了""},{""role"":""user"",""content"":""就是按照比例做的""},{""role"":""user"",""content"":""是""},{""role"":""user"",""content"":""退吧""},{""role"":""user"",""content"":""拆封了才知道不好用""}]",那没办法了哦,,18,"['问题：""都拆封啦"", 答案：""拆封的不可以哦""', '问题：""拆掉了两盒他们说不好喝，还有三盒没拆开，怎么退法的？"", 答案：""亲可以申请退没拆的哈""', '问题：""那不拆封我也不知道质量怎么样啊"", 答案：""亲亲，口感因人而异的哈，有的人觉得好喝，有的人觉得不好喝""', '问题：""不拆封怎么知道不能吃"", 答案：""拆封的退回 仓库拒收哦""', '问题：""拆开，拿到手粘粘的，一看有漏洞"", 答案：""这边给您申请2元的补偿可以吗""', '问题：""还没拆封，里面漏了"", 答案：""亲拆开看下里面是不是破损了哦""', '问题：""超重了我还要贴运费，此款商品质量差，不好用，盖都打不开，易拉罐拉一下就断了"", 答案：""亲 拍下带有商品名称的那面""', '问题：""这个不好吃你说开封了不能退"", 答案：""亲亲，每个人口感不一样的哈""']",,
这杯子好像炸了我刚收到货，还没来得及品尝呢，一看杯子，有裂痕平台已退出介入，您可继续聊天一个杯子而已。只要商品没问题就可以。来回退货太麻烦。只是这个杯子坏了，有点可惜了哈好的喝好了，给你五星好评，下次还会回购的OK，谢谢，喝好了，还会回购的,"[{""role"":""user"",""content"":""这杯子好像炸了我刚收到货，还没来得及品尝呢，一看杯子，有裂痕平台已退出介入，您可继续聊天一个杯子而已。只要商品没问题就可以。来回退货太麻烦。只是这个杯子坏了，有点可惜了哈好的喝好了，给你五星好评，下次还会回购的OK，谢谢，喝好了，还会回购的""}]",好的亲,,18,"['问题：""平台已退出介入，您可继续聊天就是杯子粉碎，产品没问题我希望下次不要出现这种问题"", 答案：""好的亲咱这边肯定反馈一下哈尽量避免这种情况""', '问题：""杯子坏了平台已退出介入，您可继续聊天人工客服"", 答案：""亲，很抱歉给您带来不好的体验，还请亲理解一下，您看为了给您有个好的购物体验，给您补偿2元可以吗。""', '问题：""杯子还是坏的平台已退出介入，您可继续聊天"", 答案：""亲亲，如果您实在不满意的话您可以申请退货退款，商品退回，有专人处理的哈。""', '问题：""送的杯子有裂纹装货的时候应该就有的"", 答案：""亲，杯子是赠品无法补发哈，给您补2元钱可以吗""', '问题：""东西收到，可是杯子是裂口的[撇嘴]"", 答案：""亲快递外包装有破损吗""', '问题：""你们那个杯子。口都烂了。那还能用吗？要送就送好的，不送就算。"", 答案：""拍照这边看下亲""', '问题：""收到货杯子已经半了。平台已退出介入，您可继续聊天"", 答案：""亲亲，可能是快递路上比较暴力，实在抱歉呢~这边给您申请2元的补偿可以吗。""', '问题：""质量没有原来好要求退款请尽快解决售后问题，避免平台介入退款退款请尽快解决售后问题，避免平台介入退款"", 答案：""商品寄回有专人处理的哈""']",,
怎么制作,"[{""role"":""user"",""content"":""怎么制作""}]",亲 参考下哦,亲 参考下哦,18,"['问题：""怎么制作呢"", 答案：""有教程亲""', '问题：""怎么做呢"", 答案：""参考下亲""', '问题：""怎么做呀"", 答案：""亲 参考下哦""', '问题：""制作方法有吗"", 答案：""看下亲""', '问题：""这个怎么做"", 答案：""亲 参考下哦""', '问题：""这个怎么制作呢？收到货还不会做呀"", 答案：""亲，有教程哦，您可以参考一下。""', '问题：""怎么做的有教程吗"", 答案：""可以参考看下""', '问题：""怎么煮"", 答案：""亲，参考下哈""']",,
好的谢谢请尽快安排发货,"[{""role"":""user"",""content"":""麻烦您给我发1包芒果味一包双皮奶粉。""},{""role"":""user"",""content"":""可以吗""},{""role"":""user"",""content"":""好的""},{""role"":""user"",""content"":""拍好了，麻烦您给我发2斤芒果味，2斤双皮奶粉。""},{""role"":""assistant"",""content"":""亲，已备注哦~""},{""role"":""user"",""content"":""好的谢谢""},{""role"":""user"",""content"":""好的谢谢请尽快安排发货""}]",,不客气,18,"['问题：""好的 谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""好的亲🌹""', '问题：""好的谢谢"", 答案：""拍下随意搭配的选项后与我们联系""', '问题：""好的谢谢"", 答案：""感谢支持""', '问题：""好的谢谢"", 答案：""不客气""', '问题：""好的谢谢"", 答案：""客气了亲""', '问题：""好的谢谢了"", 答案：""好的亲申请以后记得联系我拦截哈""']",,
三包？,"[{""role"":""user"",""content"":""草莓，巧克力""},{""role"":""assistant"",""content"":""很高兴为您服务，请问有什么可以帮您？""},{""role"":""user"",""content"":""三包？""}]",是的亲,亲 这边核实下,18,"['问题：""才三包？"", 答案：""两个包裹亲""', '问题：""退三包。"", 答案：""亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，，退回几件就申请几件的价格，商品退回，有专人处理的哈。""', '问题：""3包全退吗"", 答案：""商品全部寄回有专人处理哈""', '问题：""那我买的是25块多的那个，也是该几包啊？"", 答案：""您拍的三件就是三包哈""', '问题：""怎么就五包不是买一送一吗"", 答案：""两个包裹哈亲""', '问题：""我买的三单呢，怎么才三包嘞？我是点的，买一送一"", 答案：""亲，您拍的选项不是买一送一""', '问题：""拆了一包，还剩三包，退三包可以吗？"", 答案：""亲亲，如果您实在不满意的话，未拆封商品您可以申请退货退款，，退回几件就申请几件的价格，商品退回，有专人处理的哈。""', '问题：""你好，你那个货是不是寄三包啊？是不是你这个店啊？"", 答案：""拍下面单和包装咱看下""']",,
谢,"[{""role"":""user"",""content"":""谢""}]",不客气哈亲,,18,"['问题：""谢谢"", 答案：""客气了亲""', '问题：""谢谢"", 答案：""不客气亲""', '问题：""谢谢"", 答案：""不客气哈亲""', '问题：""谢谢谢谢"", 答案：""不客气哈""', '问题：""谢谢了"", 答案：""不客气亲，后续有专员确认给您地址，您耐心等待下哈""', '问题：""好谢谢"", 答案：""感谢理解亲""', '问题：""谢谢谢谢谢谢"", 答案：""亲，不客气哈，""', '问题：""多谢啦"", 答案：""不客气哈""']",,
你不用跟我说是正品，你家就是假冒商品。货我肯定不能给你邮，不能让你再欺骗消费者。,"[{""role"":""user"",""content"":""这是我用黄瓜子打了粉。你对比一下吧。你家这款黄瓜子粉。到嘴里口感发苦。我用黄瓜籽打的粉，喝到嘴里清香没有异味。我在快手拼多多平台，我多次买黄瓜籽粉。我不是差这26.21多次找你家一直没有解决。""},{""role"":""assistant"",""content"":""亲 不满意的话 可以申请退货退款哦""},{""role"":""user"",""content"":""你家这款产品。没法给你退。""},{""role"":""user"",""content"":""你自己看看图片，对比一下子。看看哪个是真哪是假。""},{""role"":""assistant"",""content"":""亲 我们是正规厂家生产的""},{""role"":""user"",""content"":""你说的正规厂家。但是你的黄瓜子粉出现问题。""},{""role"":""assistant"",""content"":""亲 我们是正品哦""},{""role"":""user"",""content"":""你不用跟我说是正品，你家就是假冒商品。""},{""role"":""user"",""content"":""你不用跟我说是正品，你家就是假冒商品。货我肯定不能给你邮，不能让你再欺骗消费者。""}]",,亲 我们是纯黄瓜籽粉哦,18,"['问题：""我先买的是山东产品很有效果"", 答案：""亲亲，我们的商品都是正品哦。""', '问题：""纯正的吗我看怎么有乳制品"", 答案：""亲亲，我们的产品是正品哦。""', '问题：""你这里面有添加乳粉么有人说你们家这个成型快，有点发硬要质量好一点的"", 答案：""亲亲，我们的产品是正品哦。""', '问题：""我们经常买都是有灰色"", 答案：""亲亲，咱家保证正品的哈""', '问题：""上当了吧第一次"", 答案：""亲，我们的商品都是正品""', '问题：""假的咋办"", 答案：""亲，我们的商品都是正品""', '问题：""你面向全国销售是麦麸吧就这样做买卖？"", 答案：""咱家商品是正品哈放心哈""', '问题：""发了几次还要怎么发？上面图片内容希望你们仔细看看，谁还敢购买你们产品。我仅仅是对我个人的损失要求退款而已，并没有要求平台给你们处罚，你们还找各种借口，真是无语了。"", 答案：""亲亲，我们的商品都是正品质量哦。""']",,
